SPACECRAFT EVENT TIME,BR,BTHETA,BPHI,B-FIELD MAGNITUDE,RANGE,LATITUDE,LONGITUDE
1996-12-19T06:33:27.948,-153.69,443.75,29.78,470.56,4.40704,-0.64,36.51
1996-12-19T06:33:28.281,-152.97,440.81,30.72,467.61,4.40593,-0.64,36.51
1996-12-19T06:33:28.615,-151.97,443.97,30.54,470.26,4.40481,-0.64,36.50
1996-12-19T06:33:28.948,-154.51,441.82,30.05,469.02,4.40370,-0.64,36.50
1996-12-19T06:33:29.281,-148.77,442.31,35.48,468.00,4.40258,-0.64,36.49
1996-12-19T06:33:29.615,-148.58,441.72,33.73,467.26,4.40147,-0.64,36.48
1996-12-19T06:33:29.948,-148.65,443.31,34.52,468.84,4.40036,-0.64,36.48
1996-12-19T06:33:30.281,-148.89,443.10,31.89,468.54,4.39924,-0.64,36.47
1996-12-19T06:33:30.615,-151.21,441.94,32.80,468.24,4.39813,-0.64,36.47
1996-12-19T06:33:30.948,-149.66,444.16,32.66,469.84,4.39701,-0.64,36.46
1996-12-19T06:33:31.281,-148.95,440.44,31.88,466.04,4.39590,-0.64,36.46
1996-12-19T06:33:31.615,-149.36,442.19,34.47,468.01,4.39478,-0.64,36.45
1996-12-19T06:33:31.948,-151.03,440.41,33.19,466.77,4.39367,-0.64,36.44
1996-12-19T06:33:32.281,-152.44,438.86,34.35,465.85,4.39256,-0.64,36.44
1996-12-19T06:33:32.615,-151.16,439.58,35.52,466.20,4.39144,-0.64,36.43
1996-12-19T06:33:32.948,-152.26,438.62,37.71,465.82,4.39033,-0.64,36.43
1996-12-19T06:33:33.281,-150.27,439.32,37.40,465.81,4.38922,-0.64,36.42
1996-12-19T06:33:33.615,-150.45,441.19,36.14,467.54,4.38810,-0.64,36.42
1996-12-19T06:33:33.948,-153.37,440.52,34.40,467.72,4.38699,-0.64,36.41
1996-12-19T06:33:34.281,-149.41,441.22,34.91,467.13,4.38588,-0.64,36.41
1996-12-19T06:33:34.615,-150.62,441.50,38.37,468.06,4.38476,-0.64,36.40
1996-12-19T06:33:34.948,-151.38,439.30,36.09,466.05,4.38365,-0.64,36.39
1996-12-19T06:33:35.281,-150.34,441.74,35.63,467.98,4.38254,-0.64,36.39
1996-12-19T06:33:35.615,-149.23,441.06,38.19,467.19,4.38142,-0.64,36.38
1996-12-19T06:33:35.948,-150.69,438.98,37.02,465.60,4.38031,-0.64,36.38
1996-12-19T06:33:36.281,-150.82,438.68,35.68,465.25,4.37920,-0.64,36.37
1996-12-19T06:33:36.615,-150.21,442.77,39.06,469.19,4.37808,-0.64,36.37
1996-12-19T06:33:36.948,-150.38,441.11,32.99,467.21,4.37697,-0.64,36.36
1996-12-19T06:33:37.281,-151.27,440.99,38.16,467.77,4.37586,-0.64,36.35
1996-12-19T06:33:37.615,-148.21,440.45,34.62,466.01,4.37474,-0.64,36.35
1996-12-19T06:33:37.948,-149.11,437.39,34.76,463.41,4.37363,-0.64,36.34
1996-12-19T06:33:38.281,-152.50,438.75,35.58,465.85,4.37252,-0.64,36.34
1996-12-19T06:33:38.615,-151.56,440.56,37.23,467.39,4.37140,-0.64,36.33
1996-12-19T06:33:38.948,-150.05,442.63,38.33,468.94,4.37029,-0.65,36.33
1996-12-19T06:33:39.281,-150.78,438.03,39.48,464.94,4.36918,-0.65,36.32
1996-12-19T06:33:39.615,-153.35,439.18,35.83,466.56,4.36806,-0.65,36.31
1996-12-19T06:33:39.948,-151.84,440.98,37.72,467.91,4.36695,-0.65,36.31
1996-12-19T06:33:40.281,-150.66,439.26,33.57,465.59,4.36584,-0.65,36.30
1996-12-19T06:33:40.615,-151.05,440.52,34.06,466.95,4.36472,-0.65,36.30
1996-12-19T06:33:40.948,-151.73,440.99,36.55,467.79,4.36361,-0.65,36.29
1996-12-19T06:33:41.281,-152.79,440.74,34.32,467.74,4.36250,-0.65,36.29
1996-12-19T06:33:41.615,-151.53,441.64,37.42,468.41,4.36138,-0.65,36.28
1996-12-19T06:33:41.948,-152.18,441.02,32.06,467.64,4.36027,-0.65,36.27
1996-12-19T06:33:42.281,-153.35,441.06,35.61,468.31,4.35916,-0.65,36.27
1996-12-19T06:33:42.615,-150.28,442.87,34.74,468.96,4.35805,-0.65,36.26
1996-12-19T06:33:42.948,-152.22,441.08,33.52,467.81,4.35693,-0.65,36.26
1996-12-19T06:33:43.281,-153.52,442.72,32.50,469.71,4.35582,-0.65,36.25
1996-12-19T06:33:43.615,-151.81,441.28,30.85,467.68,4.35471,-0.65,36.25
1996-12-19T06:33:43.948,-150.77,441.35,36.57,467.82,4.35360,-0.65,36.24
1996-12-19T06:33:44.281,-151.65,440.98,33.57,467.54,4.35248,-0.65,36.23
1996-12-19T06:33:44.615,-150.37,441.37,35.58,467.63,4.35137,-0.65,36.23
1996-12-19T06:33:44.948,-148.63,439.58,33.42,465.23,4.35026,-0.65,36.22
1996-12-19T06:33:45.281,-152.09,440.92,32.44,467.54,4.34915,-0.65,36.22
1996-12-19T06:33:45.615,-151.04,439.29,32.74,465.68,4.34803,-0.65,36.21
1996-12-19T06:33:45.948,-151.18,443.49,34.75,469.84,4.34692,-0.65,36.21
1996-12-19T06:33:46.281,-151.87,443.06,31.48,469.43,4.34581,-0.65,36.20
1996-12-19T06:33:46.615,-152.09,445.05,31.94,471.41,4.34469,-0.65,36.19
1996-12-19T06:33:46.948,-151.36,442.98,34.89,469.43,4.34358,-0.65,36.19
1996-12-19T06:33:47.281,-151.75,439.57,32.50,466.16,4.34247,-0.65,36.18
1996-12-19T06:33:47.615,-152.31,440.82,29.78,467.34,4.34136,-0.65,36.18
1996-12-19T06:33:47.948,-152.33,443.31,33.04,469.91,4.34025,-0.65,36.17
1996-12-19T06:33:48.281,-151.28,442.24,33.43,468.59,4.33913,-0.65,36.17
1996-12-19T06:34:57.281,-149.66,431.01,30.09,457.25,4.10966,-0.68,34.91
1996-12-19T06:34:57.615,-149.65,429.64,32.50,456.11,4.10855,-0.68,34.91
1996-12-19T06:34:57.948,-147.26,431.83,30.40,457.26,4.10745,-0.68,34.90
1996-12-19T06:34:58.281,-149.89,428.30,31.03,454.83,4.10635,-0.68,34.89
1996-12-19T06:34:58.615,-149.39,430.03,29.74,456.21,4.10524,-0.68,34.89
1996-12-19T06:34:58.948,-149.67,430.55,28.48,456.71,4.10414,-0.68,34.88
1996-12-19T06:34:59.281,-151.05,431.44,26.36,457.88,4.10303,-0.68,34.87
1996-12-19T06:34:59.615,-151.00,431.44,26.64,457.88,4.10193,-0.68,34.87
1996-12-19T06:34:59.948,-153.48,432.06,31.09,459.56,4.10082,-0.68,34.86
1996-12-19T06:35:00.281,-152.06,431.40,29.38,458.36,4.09972,-0.68,34.85
1996-12-19T06:35:00.615,-153.35,430.65,28.65,458.04,4.09861,-0.68,34.85
1996-12-19T06:35:00.948,-152.49,430.12,30.26,457.36,4.09751,-0.68,34.84
1996-12-19T06:35:01.281,-153.20,433.85,28.75,461.00,4.09641,-0.68,34.84
1996-12-19T06:35:01.615,-154.78,432.78,26.35,460.38,4.09530,-0.68,34.83
1996-12-19T06:35:01.948,-153.74,430.97,29.99,458.56,4.09420,-0.68,34.82
1996-12-19T06:35:02.281,-154.22,430.35,28.41,458.03,4.09309,-0.68,34.82
1996-12-19T06:35:02.615,-154.93,432.60,29.18,460.43,4.09199,-0.68,34.81
1996-12-19T06:35:02.948,-153.92,433.43,30.43,460.95,4.09088,-0.68,34.80
1996-12-19T06:35:03.281,-153.67,431.90,28.92,459.34,4.08978,-0.68,34.80
1996-12-19T06:35:03.615,-152.66,431.74,26.22,458.68,4.08868,-0.68,34.79
1996-12-19T06:35:03.948,-152.41,432.57,30.53,459.65,4.08757,-0.68,34.78
1996-12-19T06:35:04.281,-154.31,430.12,31.19,458.02,4.08647,-0.68,34.78
1996-12-19T06:35:04.615,-152.06,432.34,30.81,459.33,4.08536,-0.68,34.77
1996-12-19T06:35:04.948,-150.33,432.99,30.97,459.39,4.08426,-0.68,34.76
1996-12-19T06:35:05.281,-151.11,431.89,30.37,458.57,4.08316,-0.68,34.76
1996-12-19T06:35:05.615,-151.03,432.98,29.06,459.49,4.08205,-0.68,34.75
1996-12-19T06:35:05.948,-151.51,428.54,28.05,455.40,4.08095,-0.68,34.75
1996-12-19T06:35:06.281,-150.88,430.85,29.29,457.45,4.07985,-0.68,34.74
1996-12-19T06:35:06.615,-148.96,430.62,28.21,456.53,4.07874,-0.68,34.73
1996-12-19T06:35:06.948,-148.85,431.76,30.94,457.75,4.07764,-0.68,34.73
1996-12-19T06:35:07.281,-150.48,432.59,29.27,458.95,4.07654,-0.69,34.72
1996-12-19T06:35:07.615,-151.83,429.89,30.78,456.95,4.07543,-0.69,34.71
