SPACECRAFT EVENT TIME,BR,BTHETA,BPHI,B-FIELD MAGNITUDE,RANGE,LATITUDE,LONGITUDE
1998-03-29T13:05:37.663,-121.70,412.94,200.44,474.87,4.32047,5.55,69.34
1998-03-29T13:05:37.996,-121.60,412.86,200.44,474.78,4.31928,5.56,69.35
1998-03-29T13:05:38.330,-121.50,412.79,200.22,474.60,4.31808,5.56,69.36
1998-03-29T13:05:38.663,-121.47,412.75,200.29,474.59,4.31688,5.56,69.36
1998-03-29T13:05:38.996,-124.09,411.64,200.88,474.55,4.31568,5.56,69.37
1998-03-29T13:05:39.330,-123.87,411.74,200.99,474.63,4.31448,5.56,69.38
1998-03-29T13:05:39.663,-124.16,411.66,200.83,474.57,4.31329,5.56,69.39
1998-03-29T13:05:39.996,-124.10,411.60,200.71,474.45,4.31209,5.57,69.40
1998-03-29T13:05:40.330,-124.23,411.60,200.67,474.46,4.31089,5.57,69.41
1998-03-29T13:05:40.663,-124.16,411.60,200.64,474.43,4.30970,5.57,69.41
1998-03-29T13:05:40.996,-124.18,411.46,200.72,474.35,4.30850,5.57,69.42
1998-03-29T13:05:41.330,-124.01,411.66,200.65,474.45,4.30730,5.57,69.43
1998-03-29T13:05:41.663,-124.27,411.63,200.73,474.53,4.30611,5.57,69.44
1998-03-29T13:05:41.996,-124.05,411.73,200.39,474.41,4.30491,5.58,69.45
1998-03-29T13:05:42.330,-124.36,411.56,200.83,474.54,4.30371,5.58,69.46
1998-03-29T13:05:42.663,-124.62,411.42,201.20,474.63,4.30252,5.58,69.46
1998-03-29T13:05:42.996,-124.54,411.50,201.19,474.68,4.30132,5.58,69.47
1998-03-29T13:05:43.330,-124.29,411.67,201.24,474.78,4.30012,5.58,69.48
1998-03-29T13:05:43.663,-124.35,411.68,201.37,474.86,4.29893,5.58,69.49
1998-03-29T13:05:43.996,-124.37,411.98,201.48,475.17,4.29773,5.59,69.50
1998-03-29T13:05:44.330,-123.93,411.77,201.53,474.90,4.29654,5.59,69.51
1998-03-29T13:05:44.663,-124.02,411.84,201.48,474.96,4.29534,5.59,69.51
1998-03-29T13:05:44.996,-124.03,411.85,201.62,475.03,4.29415,5.59,69.52
1998-03-29T13:05:45.330,-123.82,412.02,201.49,475.07,4.29295,5.59,69.53
1998-03-29T13:05:45.663,-123.76,412.03,201.39,475.02,4.29176,5.59,69.54
1998-03-29T13:05:45.996,-123.80,412.01,201.25,474.95,4.29056,5.60,69.55
1998-03-29T13:05:46.330,-123.73,412.00,201.17,474.89,4.28936,5.60,69.56
1998-03-29T13:05:46.663,-123.78,412.01,201.09,474.88,4.28817,5.60,69.56
1998-03-29T13:05:46.996,-123.87,412.01,201.07,474.90,4.28698,5.60,69.57
1998-03-29T13:05:47.330,-124.15,412.00,201.13,474.99,4.28578,5.60,69.58
1998-03-29T13:05:47.663,-124.28,412.07,201.10,475.07,4.28458,5.60,69.59
1998-03-29T13:05:47.996,-124.22,411.94,201.12,474.94,4.28339,5.61,69.60
1998-03-29T13:05:48.330,-124.16,412.16,201.15,475.14,4.28219,5.61,69.61
1998-03-29T13:05:48.663,-124.26,412.19,201.19,475.20,4.28100,5.61,69.61
1998-03-29T13:05:48.996,-123.84,412.34,201.15,475.21,4.27981,5.61,69.62
1998-03-29T13:05:49.330,-123.57,412.20,201.15,475.01,4.27861,5.61,69.63
1998-03-29T13:05:49.663,-123.65,412.28,201.18,475.12,4.27742,5.61,69.64
1998-03-29T13:05:49.996,-123.98,412.18,201.37,475.20,4.27622,5.62,69.65
1998-03-29T13:05:50.330,-123.88,412.07,201.40,475.09,4.27503,5.62,69.66
1998-03-29T13:05:50.663,-124.35,411.73,201.50,474.96,4.27383,5.62,69.66
1998-03-29T13:05:50.996,-124.23,411.78,201.46,474.96,4.27264,5.62,69.67
1998-03-29T13:05:51.330,-124.37,411.68,201.52,474.93,4.27145,5.62,69.68
1998-03-29T13:05:51.663,-124.48,411.76,201.48,475.01,4.27025,5.62,69.69
1998-03-29T13:05:51.996,-124.88,411.37,201.82,474.92,4.26906,5.63,69.70
1998-03-29T13:05:52.330,-124.65,411.50,201.79,474.96,4.26787,5.63,69.71
1998-03-29T13:05:52.663,-124.64,411.60,201.65,474.99,4.26667,5.63,69.72
1998-03-29T13:05:52.996,-124.54,411.68,201.35,474.90,4.26548,5.63,69.72
1998-03-29T13:05:53.330,-124.44,411.84,201.48,475.07,4.26429,5.63,69.73
1998-03-29T13:05:53.663,-124.11,411.76,201.41,474.89,4.26309,5.63,69.74
1998-03-29T13:05:53.996,-123.95,411.95,201.34,474.97,4.26190,5.64,69.75
1998-03-29T13:05:54.330,-123.99,412.00,201.23,474.98,4.26071,5.64,69.76
1998-03-29T13:05:54.663,-123.88,412.11,201.19,475.04,4.25951,5.64,69.77
1998-03-29T13:05:54.996,-123.94,412.02,201.06,474.92,4.25832,5.64,69.77
1998-03-29T13:05:55.330,-123.38,412.15,200.72,474.74,4.25713,5.64,69.78
1998-03-29T13:05:55.663,-123.38,412.35,200.87,474.98,4.25594,5.64,69.79
1998-03-29T13:05:55.996,-123.39,412.25,200.83,474.88,4.25475,5.65,69.80
1998-03-29T13:05:56.330,-123.26,412.32,200.84,474.91,4.25355,5.65,69.81
1998-03-29T13:05:56.663,-123.46,412.26,200.90,474.93,4.25236,5.65,69.82
1998-03-29T13:05:56.996,-123.56,412.00,201.37,474.93,4.25117,5.65,69.83
1998-03-29T13:05:57.330,-123.19,412.12,200.96,474.77,4.24997,5.65,69.83
1998-03-29T13:05:57.663,-123.18,412.07,200.99,474.73,4.24878,5.65,69.84
1998-03-29T13:05:57.996,-123.10,412.16,200.98,474.79,4.24759,5.66,69.85
1998-03-29T13:05:58.330,-122.95,412.26,200.87,474.79,4.24640,5.66,69.86
1998-03-29T13:05:58.663,-122.92,412.22,200.96,474.78,4.24521,5.66,69.87
1998-03-29T13:05:58.996,-122.86,412.09,201.23,474.77,4.24402,5.66,69.88
1998-03-29T13:05:59.330,-122.82,411.74,201.81,474.70,4.24282,5.66,69.89
1998-03-29T13:05:59.663,-123.00,411.64,202.04,474.76,4.24163,5.66,69.89
1998-03-29T13:05:59.996,-122.82,411.61,202.25,474.78,4.24044,5.67,69.90
1998-03-29T13:06:00.330,-122.81,411.68,202.02,474.74,4.23925,5.67,69.91
1998-03-29T13:06:00.663,-122.92,411.79,201.99,474.85,4.23806,5.67,69.92
1998-03-29T13:06:00.996,-122.96,411.75,202.15,474.89,4.23687,5.67,69.93
1998-03-29T13:06:01.330,-122.90,411.74,202.30,474.93,4.23568,5.67,69.94
1998-03-29T13:06:01.663,-123.07,411.81,202.29,475.03,4.23449,5.67,69.95
1998-03-29T13:06:01.996,-123.27,412.00,202.24,475.23,4.23330,5.68,69.95
